question,A,B,C,D,correct
A young girl is standing in an open grassy field. The girl,mows the lawn behind her.,"runs towards a low beam and jumps over it, landing on a blue pad.",is jumping down and trying to hit a ball back and forth underneath a high bar.,is sprinting to the other side of the club.,B
A toddler utters her first words in front of her adoring parents. She,plans to become a motivational speaker next.,berates them for their parenting ideology.,is ten years old.,then giggles gleefully.,D
Today was the worst day of my life. I,found my turtle passed away.,won $500 dollars.,got my acceptance letter.,got a call that I got the job.,A
John is a horrible swimmer. He,invented a new stroke.,has amazing strokes.,swam extremely fast.,almost drowned.,D
A sword is stuck in the stone when a man named Arthur approaches it. He,throws a stone at the sword in the stone.,sticks a sticker to the sword in the stone.,pulls the sword from the stone.,tells the stone to stop being stuck.,C
The pilot pulls up and levels out. The pilot,jumps from the plane.,turns on the fasten seatbelt sign.,falls to the ground.,shoots at some birds.,B
There were boys in the street talking about the protest. They were,teenagers who were sitting in their graves,about to take the next right turn,waiting for the bus to go to the next station,furious over the governor's decision to welcome Chinese investments,D
"During the rainstorm, my dog was afraid of the lightening. After a big strike,",she age a big bowl of dog food.,barked at the mailman.,she whimpered in fear.,she was very happy.,C
A woman starts rock climbing up a wall. People,are walking and hiking along a dirt trail.,in a shopping mall.,are inside watching television.,walk going side to side and doing tricks.,A
A sailor is piloting his small sailboat across a lake. He,participates in the cruise ship's dance party.,prepares to jibe.,rotates the plants to more suitable soil.,disappears into thin air.,B
A man wearing a coat is walking on the sidewalk. He,walks on the pavement.,goes to bed.,sidewalks the sidewalk.,takes off his coat and flies away.,A
I ran across the street to catch the,bus,chicken,football,car I was driving,A
"After scoring poorly on multiple exams, Harper wondered",what the weather was like.,if he would be the top student in class.,if chicken wings were on sale at the supermarket.,whether he understood the material.,D
Rhett is meeting up with his friends at a music festival.,He's excited to see all of his favorite bands.,Rhett stays home and does his homework.,Rhett gets a dog.,Rhett goes on a five-day solo camping trip in Canada.,A
i fall in love with,one of my classmates,my sister,my mother,my father,A
"It was raining outside, and my apartment is very old. I",saw water drip from the ceiling.,went to the beach.,went sun-bathing.,got evicted.,A
The man demonstrates using the high-powered blender. He,shows the crowd which books are his favorite.,cuts fruits and veggies to make a salad.,decides to make a fruit smoothie.,reads the script to his audience and bows at the end.,C
"On a warm summer day, Ally relaxes on the beach. She",pulls out a book and begins to read.,orders a cup of hot chocolate from the hotel.,waves to her friend on the ski slope.,puts on her winter coat because she's cold.,A
Thomas decided to skip school that day. Instead he,came down with a cold.,played video games.,drove to his job.,attended all his classes.,B
"The girl is 2 years old now, the girl",loves her son so much,loves her homework so much,loves her husband so much,loves her mother so much,D
A student insulted the professor on a written exam. The student,wanted to be best friends with the professor.,was given a stern talking to.,was invited to the professor's house for a movie night.,ate carrots for breakfast.,B
The teacher walked to her desk. The teacher,smells her desk.,picks up the apple.,picks up the board and throws it at a student.,stabs a pencil into the board.,B
"It's incredible how even after her brother passed away,",he congratulated her on a job well done.,she stayed strong and accomplished her goals.,she passed away again.,we all sang along.,B
Someone stole your phone. You should,call it to find it,steal another phone so that you have a phone again,find the thief yourself somehow,file a police report,D
A cowboy is riding his horse. He,"ties his lasso, aims towards Jupiter, and flies away on his horse.","robs a train, eats his hat, and then says sorry to his horse.",is traveling to the nearest town.,"polishes his revolver, saves fifteen percent on car insurance, and sells his horse.",C
I have a cucumber and a cactus. I will,sit on the cucumber.,eat the cucumber.,eat the cactus.,sit on the cactus.,B
The elephant roamed the savannah with its children. The elephant,drove across the desert with tourists visiting for a safari.,desperately needed to find a bathroom.,desperately needed to find food.,made a startled noise when it suddenly found itself in a children's book store.,C
I was chopping a tree when my coworker finally showed up late. I,told him to put his phaser to stun.,caught him with an inflatable pool under his arm.,asked him to fetch me something to drink.,asked him to log any complaints coming from Narnia.,C
A Tsunami struck a country. That country was probably,perched upon a mountain.,a democracy.,prone to earthquakes.,land locked.,C
A girl was fishing with her grandpa. She,placed a worm on the hook.,caught a fish and put it in her mouth.,fell off the boat and swam with the fish.,hit her grandpa with the fish.,A
The boy never cleaned his room. His room was,dirty.,neat.,clean.,big.,A
John studies for his math test. He,watches a cat video.,work on algebra problems.,opens his English textbook.,reads the newspaper.,B
Arthur pulled out the sword of Excalibur. He,must be super strong to pull out the sword..,must just be lucky,must be the one destined to wield it.,must have used known a weak point in the stone.,C
John walks into a restaurant before it opens. John,orders a burger.,waits to be seated.,looks at the restaurant's menu.,gets everything ready for the customers.,D
Mexican street vendors prefer to sell their goods on the black market rather than register with the government. This is because,registering a business in Mexico gives you magic powers.,registering a business in Mexico makes you a good dentist.,it's too much of a hassle for the working class to go through legitimate channels.,registering a business in Mexico makes more money.,C
A squirrel is in a tree. The squirrel,is a dog,climbs the social ladder,lives there,treats people with disrespect,C
A girl is texting while walking. She,texts her shoe to say happy birthday.,drops her phone in the ocean and a fish eats it.,is wearing shoes on her hands.,runs into a pole.,D
